"","state_county","trump","biden","others"
"587","georgia,gilmer",2932,13429,166
"588","georgia,glascock",155,1402,8
"589","georgia,glynn",15882,25617,495
"590","georgia,gordon",4384,19405,255
"591","georgia,grady",3619,7034,54
"592","georgia,greene",4087,7066,94
"593","georgia,gwinnett",241994,166400,5956
"594","georgia,habersham",3562,16637,243
"595","georgia,hall",25033,64183,1386
"596","georgia,hancock",2976,1154,23
"597","georgia,haralson",1791,12330,127
"598","georgia,harris",5457,14319,226
"599","georgia,hart",3157,9465,112
"600","georgia,heard",824,4519,51
"601","georgia,henry",73443,48259,1314
"602","georgia,houston",32239,41540,1093
"603","georgia,irwin",1008,3134,26
"604","georgia,jackson",7642,29502,541
"605","georgia,jasper",1761,5822,64
"606","georgia,jeff davis",1028,4695,51
"607","georgia,jefferson",4058,3537,44
"608","georgia,jenkins",1266,2161,28
"609","georgia,johnson",1222,2850,28
"610","georgia,jones",4882,9940,118
"611","georgia,lamar",2620,6331,94
"612","georgia,lanier",1019,2509,48
"613","georgia,laurens",8074,14493,165
"614","georgia,lee",4558,12007,154
"615","georgia,liberty",13104,7959,331
"616","georgia,lincoln",1432,3173,36
"617","georgia,long",2035,3527,98
"618","georgia,lowndes",20116,25692,567
"619","georgia,lumpkin",3126,12163,256
"620","georgia,mcduffie",4168,6169,119
"621","georgia,mcintosh",2612,4016,68
"622","georgia,macon",2858,1783,22
"623","georgia,madison",3411,11326,208
"624","georgia,marion",1312,2275,39
"625","georgia,meriwether",4287,6524,69
"626","georgia,miller",748,2066,20
"627","georgia,mitchell",3993,4935,35
"628","georgia,monroe",4385,11057,150
"629","georgia,montgomery",980,2960,28
"630","georgia,morgan",3353,8231,126
"631","georgia,murray",2301,12944,150
"632","georgia,muscogee",49446,30107,975
"633","georgia,newton",29789,23869,605
"634","georgia,oconee",8162,16595,436
"635","georgia,oglethorpe",2439,5592,107
"636","georgia,paulding",29695,54517,1205
"637","georgia,peach",5922,6506,126
"638","georgia,pickens",2824,14110,238
"639","georgia,pierce",1100,7898,50
"640","georgia,pike",1505,9127,89
"641","georgia,polk",3657,13587,155
"642","georgia,pulaski",1230,2815,36
"643","georgia,putnam",3448,8291,118
"644","georgia,quitman",497,604,5
"645","georgia,rabun",1984,7474,116
"646","georgia,randolph",1671,1390,12
"647","georgia,richmond",59119,26780,1178
"648","georgia,rockdale",31237,13014,448
"649","georgia,schley",462,1800,13
"650","georgia,screven",2661,3915,53
"651","georgia,seminole",1256,2613,19
"652","georgia,spalding",11828,18104,287
"653","georgia,stephens",2386,9367,132
"654","georgia,stewart",1182,801,7
"655","georgia,sumter",6314,5733,103
"656","georgia,talbot",2114,1392,18
"657","georgia,taliaferro",561,360,7
"658","georgia,tattnall",2062,6054,71
"659","georgia,taylor",1388,2420,34
"660","georgia,telfair",1488,2825,22
"661","georgia,terrell",2376,2004,36
"662","georgia,thomas",8708,12969,200
"663","georgia,tift",5318,10784,178
"664","georgia,toombs",2938,7873,103
"665","georgia,towns",1550,6384,45
"666","georgia,treutlen",952,2101,24
"667","georgia,troup",11577,18142,338
"668","georgia,turner",1409,2349,33
"669","georgia,twiggs",2044,2370,30
"670","georgia,union",2800,12650,112
"671","georgia,upson",4203,8606,98
"672","georgia,walker",5770,23173,431
"673","georgia,walton",12683,37839,576
"674","georgia,ware",4169,9903,117
"675","georgia,warren",1468,1166,16
"676","georgia,washington",4743,4668,69
"677","georgia,wayne",2688,9987,107
"678","georgia,webster",640,748,3
"679","georgia,wheeler",689,1583,13
"680","georgia,white",2411,12222,198
"681","georgia,whitfield",10680,25644,442
"682","georgia,wilcox",861,2402,16
"683","georgia,wilkes",2160,2823,48
"684","georgia,wilkinson",2074,2665,31
"685","georgia,worth",2395,6830,60
"686","idaho,ada",130699,120539,8151
"687","idaho,adams",1941,591,54
"688","idaho,bannock",23331,14682,1758
"689","idaho,bear lake",2914,350,51
"690","idaho,benewah",3878,977,118
"691","idaho,bingham",15295,4124,675
"692","idaho,blaine",4032,8919,338
"693","idaho,boise",3485,1204,131
"694","idaho,bonner",18369,8310,673
"695","idaho,bonneville",37805,14254,1936
"696","idaho,boundary",4937,1220,156
"697","idaho,butte",1202,188,25
"698","idaho,camas",507,149,98
"699","idaho,canyon",61759,25881,2798
